C_Al,,C_Cu,,kappa_2850,,kappa_Cu5N,,kappa_CuETP,,kappa_G10,,kappa_NbTi,,kappa_PTFE,,kappa_StSt304,,x6061,,kappa_manganin,,BeCu,http://www0.bnl.gov/magnets/staff/gupta/cryogenic-data-handbook/Section7.pdf
0.1,0.0051,0.01,0.00010878,0.06,0.00000532,1,907.9169553,1,129.7054431,0.1,0.00014964,1,0.05,0.1,0.00002,0.1,0.0076,1,1.775215967,0.1,0.006,4,1.9
1,0.051,0.0188889,0.000205473,0.1,0.0000206,2,1815.224967,2,259.3998374,0.12707,0.0002429,2,0.1,0.4,0.0004,0.5,0.038,2,3.550428533,0.4,0.02,6,2.8
2,0.108,0.0277778,0.000302167,0.2,0.000129,3,2719.296086,3,389.0353871,0.15828,0.00041046,3,0.15,1,0.004,1,0.076,3,5.325625705,1,0.06,8,3.8
3,0.176,0.0366667,0.00039886,0.3,0.000379,4,3614.004435,4,518.4997034,0.17489,0.00051248,4,0.2,1.5,0.01,1.5,0.114,4,7.100782955,4,0.5,10,4.8
4,0.261,0.0455556,0.000495553,0.4,0.000811,5,4488.508226,5,647.589371,0.18943,0.00059027,4.1856,0.20433,2,0.055,2,0.152,5,8.875860633,10,2,15,7.6
6,0.5,0.0544444,0.000592246,0.5,0.00147,6,5325.881991,6,775.9720911,0.20518,0.00070783,4.7026,0.24849,3,0.037,3,0.249,6,10.65080187,40,7,20,10.6
8,0.88,0.0633333,0.00068894,0.6,0.00238,7,6101.848737,7,903.1314532,0.23129,0.00093889,5.0263,0.27945,4,0.046,4,0.352,7,12.42553078,80,13,25,13.3
10,1.4,0.0722222,0.000785633,0.7,0.003,8,6786.249519,8,1028.329845,0.25052,0.0011488,5.3275,0.30215,5,0.056,5,0.462,8,14.19995082,150,16,30,16.2
15,4,0.0811111,0.000882326,0.8,0.004,9,7350.018233,9,1150.647083,0.32476,0.0018276,5.5536,0.31415,6,0.066,6,0.575,9,15.97394338,300,22,35,18.6
20,8.9,0.09,0.000979019,0.9,0.005,10,7775.270452,10,1269.102248,0.42948,0.0034165,5.6471,0.33984,7,0.074,7,0.693,10,17.74736643,,,40,21
25,17.5,0.0966,0.00102916,1,0.006,15,8168.090037,15,1776.767118,0.64026,0.0066515,5.8377,0.33527,8,0.081,8,0.814,15,26.59918104,,,50,26
30,31.5,0.0973,0.00104591,2,0.018455672,20,7023.929256,20,2082.226849,1.0134,0.015528,6.5042,0.3869,9,0.088,9,0.938,20,35.39981045,,,60,30
35,51.5,0.102,0.00110956,3,0.038290772,25,5320.481752,25,2113.433921,1.3672,0.024214,6.7803,0.40757,10,0.093,10,1.064,25,44.09458426,,,70,34
40,77.5,0.1065,0.00116859,4,0.064266382,30,3797.821418,30,1929.119304,2.2003,0.040637,7.068,0.42375,12,0.103,12,1.323,30,52.58582149,,,76,35
50,142,0.1074,0.00118032,5,0.096033305,40,1974.632115,40,1387.871866,2.5982,0.049649,7.4295,0.44634,14,0.111,14,1.588,40,68.2231951,,,80,37
60,214,0.1077,0.00118911,6,0.133336214,50,1175.60188,50,969.3006864,3.9909,0.076232,7.8094,0.47015,16,0.119,16,1.858,50,80.66717074,,,90,40
70,287,0.1166,0.00130216,7,0.175975554,60,815.5150453,60,724.1887411,4.9435,0.090471,8.141,0.49527,18,0.125,18,2.132,60,89.57394507,,,100,42
80,357,0.1171,0.00130676,8,0.223788542,70,642.7352151,70,591.7328983,6.0039,0.10334,8.6289,0.53551,20,0.13,20,2.407,70,96.11189949,,,120,48
90,422,0.1187,0.0013277,9,0.276638351,80,554.4519496,80,520.3879771,6.003901,0.103341,9.3766,0.57131,25,0.141,25,3.092,80,101.3708984,,,140,54
100,481,0.119,0.00133021,10,0.334407393,90,506.3694814,90,480.7311618,7.9596,0.12739,10.36,0.6256,30,0.148,30,3.763,90,105.8905601,,,160,58
120,580,0.1266,0.00142149,15,0.334407393,100,478.2287482,100,457.4432796,9.8502,0.14002,11.164,0.6417,35,0.152,35,4.404,100,110.0130777,,,180,62
140,654,0.1276,0.00143195,20,0.334407393,110,460.4168709,110,442.7784006,14.805,0.1758,12.438,0.72131,40,0.153,40,5.01,110,114,,,200,65
160,713,0.1321,0.00148304,30,0.334,120,448.290847,120,432.8804163,19.798,0.20069,14.208,0.84313,45,0.153,45,5.57,120,118.0438794,,,250,70
180,760,0.1451,0.00161451,50,0.41,130,439.5546165,130,425.8204872,29.45,0.23791,19.324,1.107,50,0.152,50,6.08,130,122.0765759,,,300,80
200,797,0.1507,0.00166015,70,0.486,140,433.0082751,140,420.5892462,39.769,0.27419,24.388,1.3984,60,0.146,60,6.98,140,126.0376916,,,,
220,826,0.1586,0.00176859,100,0.6,150,427.9643151,150,416.6088947,59.185,0.33775,29.525,1.6551,70,0.139,70,7.72,150,129.8577061,,,,
240,849,0.1735,0.00192769,150,0.79,160,423.9862853,160,413.5118563,79.177,0.39682,34.007,1.9344,80,0.132,80,8.34,160,133.5043262,,,,
260,869,0.191,0.00212323,200,0.98,170,420.7748096,170,411.0447001,117.85,0.4935,39.168,2.2023,90,0.124,90,8.85,170,136.9781907,,,,
280,886,0.2118,0.00235435,250,1.17,180,418.1164301,180,409.0258221,159.21,0.591,44.741,2.5743,100,0.116,100,9.3,180,140.2987398,,,,
300,902,0.2368,0.00263823,300,1.36,190,415.8577207,190,407.3244336,200.96,0.67493,48.62,2.8567,150,0.084,150,10.94,190,143.4920842,,,,
,,0.2661,0.0029577,,,200,413.8894523,200,405.8476932,299.18,0.85562,52.834,3.088,200,0.06,200,12.2,200,146.5838006,,,,
,,0.2763,0.00306488,,,220,410.5425734,220,403.3317355,,,58.376,3.3814,250,0.044,250,13.31,210,149.5957373,,,,
,,0.2898,0.00322232,,,240,407.7126592,240,401.1801549,,,62.909,3.6078,300,0.032,300,14.32,220,152.545172,,,,
,,0.3085,0.00342245,,,260,405.2365417,260,399.2692912,,,68.363,3.9514,,,,,230,155.4450578,,,,
,,0.3203,0.00355476,,,280,403.0392114,280,397.5500773,,,76.164,4.3836,,,,,240,158.3046302,,,,
,,0.3426,0.0038018,,,300,401.0783805,300,395.9985048,,,79.396,4.5576,,,,,250,161.130042,,,,
,,0.3523,0.00391066,,,,,,,,,89.195,5.1226,,,,,260,163.9249097,,,,
,,0.378,0.00419537,,,,,,,,,97.732,5.4645,,,,,273,167.5148603,,,,
,,0.4085,0.00454708,,,,,,,,,109.79,5.8275,,,,,283,170.2424485,,,,
,,0.4171,0.00464338,,,,,,,,,118.31,6.2176,,,,,293,172.9384481,,,,
,,0.454,0.00506208,,,,,,,,,128.56,6.5467,,,,,,,,,,
,,0.5035,0.00570688,,,,,,,,,139.7,6.9843,,,,,,,,,,
,,0.7,0.00787156,,,,,,,,,151.8,7.2581,,,,,,,,,,
,,0.9,0.0103,,,,,,,,,162.24,7.4455,,,,,,,,,,
,,1.1,0.0129378,,,,,,,,,171.96,7.9455,,,,,,,,,,
,,1.2,0.0146126,,,,,,,,,183.77,8.0444,,,,,,,,,,
,,1.3,0.015785,,,,,,,,,203.03,8.249,,,,,,,,,,
,,1.5,0.0188415,,,,,,,,,222.46,8.7996,,,,,,,,,,
,,2,0.0275505,,,,,,,,,241.72,8.9074,,,,,,,,,,
,,2.5,0.0391484,,,,,,,,,262.66,9.2564,,,,,,,,,,
,,3,0.0535936,,,,,,,,,276.09,9.6229,,,,,,,,,,
,,3.5,0.0707603,,,,,,,,,,,,,,,,,,,,
,,4,0.092114,,,,,,,,,,,,,,,,,,,,
,,5,0.148639,,,,,,,,,,,,,,,,,,,,
,,6,0.22861,,,,,,,,,,,,,,,,,,,,
,,7,0.336635,,,,,,,,,,,,,,,,,,,,
,,8,0.477737,,,,,,,,,,,,,,,,,,,,
,,9,0.65694,,,,,,,,,,,,,,,,,,,,
,,10,0.880526,,,,,,,,,,,,,,,,,,,,
,,12,1.48513,,,,,,,,,,,,,,,,,,,,
,,14,2.35058,,,,,,,,,,,,,,,,,,,,
,,16,3.54639,,,,,,,,,,,,,,,,,,,,
,,18,5.15838,,,,,,,,,,,,,,,,,,,,
,,20,7.27282,,,,,,,,,,,,,,,,,,,,
,,22,9.98181,,,,,,,,,,,,,,,,,,,,
,,24,13.2979,,,,,,,,,,,,,,,,,,,,
,,26,17.1667,,,,,,,,,,,,,,,,,,,,
,,28,21.5589,,,,,,,,,,,,,,,,,,,,
,,30,26.4828,,,,,,,,,,,,,,,,,,,,
,,35,41.87,,,,,,,,,,,,,,,,,,,,
,,40,59.0367,,,,,,,,,,,,,,,,,,,,
,,45,77.7526,,,,,,,,,,,,,,,,,,,,
,,50,97.0128,,,,,,,,,,,,,,,,,,,,
,,55,116.65,,,,,,,,,,,,,,,,,,,,
,,60,135.826,,,,,,,,,,,,,,,,,,,,
,,65,153.914,,,,,,,,,,,,,,,,,,,,
,,70,171.123,,,,,,,,,,,,,,,,,,,,
